@@@@ Succesfully loaded iter 2999
@@@@ Successfully loaded data: train_set 210 | test_set 89
@@@@ Starting training!
saved at  2999
[2999/10000]; ttime: 1 (0.04, 0.59); loss: 0.514
@@@ Evaluating at  2999
Loss at step 2999: 0.3095829387505849
[3000/10000]; ttime: 8 (0.02, 0.03); loss: 0.486
[3001/10000]; ttime: 8 (0.01, 0.02); loss: 0.523
[3002/10000]; ttime: 8 (0.01, 0.02); loss: 0.451
[3003/10000]; ttime: 8 (0.02, 0.30); loss: 0.435
[3004/10000]; ttime: 8 (0.02, 0.03); loss: 0.460
[3005/10000]; ttime: 8 (0.01, 0.02); loss: 0.379
[3006/10000]; ttime: 8 (0.01, 0.02); loss: 0.425
[3007/10000]; ttime: 9 (0.01, 0.02); loss: 0.379
[3008/10000]; ttime: 9 (0.01, 0.02); loss: 0.414
[3009/10000]; ttime: 9 (0.01, 0.06); loss: 0.439
[3010/10000]; ttime: 9 (0.01, 0.30); loss: 0.422
[3011/10000]; ttime: 9 (0.02, 0.03); loss: 0.390
[3012/10000]; ttime: 9 (0.01, 0.02); loss: 0.370
[3013/10000]; ttime: 9 (0.01, 0.02); loss: 0.373
[3014/10000]; ttime: 10 (0.01, 0.02); loss: 0.384
[3015/10000]; ttime: 10 (0.01, 0.02); loss: 0.394
[3016/10000]; ttime: 10 (0.01, 0.02); loss: 0.368
[3017/10000]; ttime: 10 (0.02, 0.24); loss: 0.404
[3018/10000]; ttime: 10 (0.01, 0.02); loss: 0.363
[3019/10000]; ttime: 10 (0.02, 0.03); loss: 0.369
[3020/10000]; ttime: 10 (0.01, 0.02); loss: 0.352
[3021/10000]; ttime: 10 (0.01, 0.02); loss: 0.376
[3022/10000]; ttime: 11 (0.01, 0.02); loss: 0.390
[3023/10000]; ttime: 11 (0.01, 0.02); loss: 0.392
[3024/10000]; ttime: 11 (0.02, 0.33); loss: 0.388
[3025/10000]; ttime: 11 (0.02, 0.03); loss: 0.367
[3026/10000]; ttime: 11 (0.02, 0.03); loss: 0.362
[3027/10000]; ttime: 11 (0.01, 0.02); loss: 0.371
[3028/10000]; ttime: 11 (0.01, 0.02); loss: 0.373
[3029/10000]; ttime: 12 (0.01, 0.02); loss: 0.360
[3030/10000]; ttime: 12 (0.01, 0.02); loss: 0.359
[3031/10000]; ttime: 12 (0.02, 0.31); loss: 0.378
[3032/10000]; ttime: 12 (0.02, 0.03); loss: 0.347
[3033/10000]; ttime: 12 (0.01, 0.02); loss: 0.364
[3034/10000]; ttime: 12 (0.01, 0.02); loss: 0.359
[3035/10000]; ttime: 12 (0.01, 0.02); loss: 0.360
[3036/10000]; ttime: 12 (0.01, 0.02); loss: 0.357
[3037/10000]; ttime: 13 (0.01, 0.02); loss: 0.351
[3038/10000]; ttime: 13 (0.02, 0.27); loss: 0.354
[3039/10000]; ttime: 13 (0.02, 0.03); loss: 0.380
[3040/10000]; ttime: 13 (0.01, 0.02); loss: 0.406
[3041/10000]; ttime: 13 (0.01, 0.02); loss: 0.347
